,gene,product
0,ABAT,4-aminobutyrate aminotransferase
1,ABCA1,ATP binding cassette subfamily A member 1
2,ABCC1,ATP binding cassette subfamily C member 1
3,ABCC2,ATP binding cassette subfamily C member 2
4,ABCC8,ATP binding cassette subfamily C member 8
5,ABCC9,ATP binding cassette subfamily C member 9
6,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
7,ACAT1,Acetyl-CoA acetyltransferase 1
8,ACE,Angiotensin I converting enzyme
9,ACHE,Acetylcholinesterase (Cartwright blood group)
10,ACLY,ATP citrate lyase
11,ACP3,Acid phosphatase 3
12,ACTN1,Actinin alpha 1
13,ADA,Adenosine deaminase
14,ADH1A,"Alcohol dehydrogenase 1A (class I), alpha polypeptide"
15,ADH1B,"Alcohol dehydrogenase 1B (class I), beta polypeptide"
16,ADH1C,"Alcohol dehydrogenase 1C (class I), gamma polypeptide"
17,ADORA1,Adenosine A1 receptor
18,ADORA2A,Adenosine A2a receptor
19,ADORA2B,Adenosine A2b receptor
20,ADORA3,Adenosine A3 receptor
21,ADRA1A,Adrenoceptor alpha 1A
22,ADRA1B,Adrenoceptor alpha 1B
23,ADRA1D,Adrenoceptor alpha 1D
24,ADRA2A,Adrenoceptor alpha 2A
25,ADRA2B,Adrenoceptor alpha 2B
26,ADRA2C,Adrenoceptor alpha 2C
27,ADRB1,Adrenoceptor beta 1
28,ADRB2,Adrenoceptor beta 2
29,ADRB3,Adrenoceptor beta 3
30,AGTR1,Angiotensin II receptor type 1
31,AHR,Aryl hydrocarbon receptor
32,AKR1B1,Aldo-keto reductase family 1 member B
33,AKR1C2,Aldo-keto reductase family 1 member C2
34,AKR1D1,Aldo-keto reductase family 1 member D1
35,ALAD,Aminolevulinate dehydratase
36,ALB,Albumin
37,ALDH2,Aldehyde dehydrogenase 2 family member
38,ALDH3B2,Aldehyde dehydrogenase 3 family member B2
39,ALK,ALK receptor tyrosine kinase
40,ALOX5,Arachidonate 5-lipoxygenase
41,ALPG,"Alkaline phosphatase, germ cell"
42,AMY2A,Amylase alpha 2A
43,ANGPT2,Angiopoietin 2
44,ANGPTL3,Angiopoietin like 3
45,ANO1,Anoctamin 1
46,ANXA1,Annexin A1
47,ANXA2,Annexin A2
48,ANXA3,Annexin A3
49,ANXA4,Annexin A4
50,ANXA5,Annexin A5
51,AOC3,Amine oxidase copper containing 3
52,APOC3,Apolipoprotein C3
53,APP,Amyloid beta precursor protein
54,AR,Androgen receptor
55,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
