,locus_tag,product
0,AFUA_1G00450,N-acetylglucosamine-6-phosphate deacetylase
1,AFUA_1G00470,Betaine aldehyde dehydrogenase
2,AFUA_1G00480,Glucosamine-6-phosphate deaminase
3,AFUA_1G00490,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial"
4,AFUA_1G00500,FMN-dependent alpha-hydroxy acid dehydrogenase
5,AFUA_1G00510,"D-lactate dehydrogenase [cytochrome], mitochondrial"
6,AFUA_1G01740,T-complex protein 1 subunit beta
7,AFUA_1G01750,Peptidyl-prolyl cis-trans isomerase
8,AFUA_1G01990,Ribosome assembly protein 4
9,AFUA_1G02030,Eukaryotic translation initiation factor 3 subunit B
10,AFUA_1G02070,"Cytochrome c1, heme protein, mitochondrial"
11,AFUA_1G02110,Phospho-2-dehydro-3-deoxyheptonate aldolase
12,AFUA_1G02140,Glycogen debranching enzyme
13,AFUA_1G02150,Glycerol-3-phosphate dehydrogenase
14,AFUA_1G02190,Ras GTPase Rab11
15,AFUA_1G02210,Ribosome biogenesis protein BRX1
16,AFUA_1G02410,RuvB-like helicase 2
17,AFUA_1G02430,Ubiquitin fusion degradation protein 1
18,AFUA_1G02460,DNA-directed RNA polymerase III subunit RPC2
19,AFUA_1G02480,Plasma membrane ATPase
20,AFUA_1G02550,Tubulin alpha-1 chain
21,AFUA_1G02570,"Aspartate--tRNA ligase, cytoplasmic"
22,AFUA_1G02630,rRNA processing protein Pwp1
23,AFUA_1G02670,Actin-related protein 2/3 complex subunit 2
24,AFUA_1G02810,mRNA 3'-end-processing protein YTH1
25,AFUA_1G02830,Nuclear protein localization protein 4
26,AFUA_1G02890,Deoxyuridine 5'-triphosphate nucleotidohydrolase
27,AFUA_1G02980,6-phosphogluconolactonase
28,AFUA_1G03010,Pre-mRNA-splicing factor CWC22
29,AFUA_1G03020,Dolichol phosphate-mannose biosynthesis regulatory protein
30,AFUA_1G03050,ATP-dependent DNA helicase MPH1
31,AFUA_1G03060,F-actin-capping protein subunit beta
32,AFUA_1G03070,Transcription initiation factor TFIID subunit 5
33,AFUA_1G03080,Protein phosphatase methylesterase 1
34,AFUA_1G03100,"ATP synthase subunit delta, mitochondrial"
35,AFUA_1G03110,Large ribosomal subunit protein eL29
36,AFUA_1G03150,Delta(14)-sterol reductase ERG24A
37,AFUA_1G03390,Large ribosomal subunit protein uL11
38,AFUA_1G03400,Protein transport protein SEC23
39,AFUA_1G03410,DNA primase large subunit
40,AFUA_1G03420,"GTP:AMP phosphotransferase, mitochondrial"
41,AFUA_1G03500,DNA topoisomerase 1
42,AFUA_1G03510,"ATP synthase subunit gamma, mitochondrial"
43,AFUA_1G03550,"Dihydroxy-acid dehydratase, mitochondrial"
44,AFUA_1G03740,glutamate carboxypeptidase II
45,AFUA_1G03810,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1
46,AFUA_1G03820,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16
47,AFUA_1G03830,Prefoldin subunit 2
48,AFUA_1G03840,CCAAT-binding factor complex subunit HapC
